Name,mcg,gvh,lip,chg,aac,alm1,alm2,class
1,0.49,0.29,0.48,0.5,0.56,0.24,0.35,0
2,0.07,0.4,0.48,0.5,0.54,0.35,0.44,0
3,0.56,0.4,0.48,0.5,0.49,0.37,0.46,0
4,0.59,0.49,0.48,0.5,0.52,0.45,0.36,0
5,0.23,0.32,0.48,0.5,0.55,0.25,0.35,0
7,0.67,0.39,0.48,0.5,0.36,0.38,0.46,0
8,0.29,0.28,0.48,0.5,0.44,0.23,0.34,0
11,0.21,0.34,0.48,0.5,0.51,0.28,0.39,0
12,0.2,0.44,0.48,0.5,0.46,0.51,0.57,0
13,0.42,0.4,0.48,0.5,0.56,0.18,0.3,0
18,0.42,0.24,0.48,0.5,0.57,0.27,0.37,0
28,0.25,0.48,0.48,0.5,0.44,0.17,0.29,0
31,0.39,0.32,0.48,0.5,0.46,0.24,0.35,0
32,0.51,0.5,0.48,0.5,0.46,0.32,0.35,0
34,0.22,0.43,0.48,0.5,0.48,0.16,0.28,0
35,0.25,0.4,0.48,0.5,0.46,0.44,0.52,0
36,0.34,0.45,0.48,0.5,0.38,0.24,0.35,0
37,0.44,0.27,0.48,0.5,0.55,0.52,0.58,0
38,0.23,0.4,0.48,0.5,0.39,0.28,0.38,0
39,0.41,0.57,0.48,0.5,0.39,0.21,0.32,0
45,0.4,0.45,0.48,0.5,0.38,0.22,0,0
46,0.31,0.23,0.48,0.5,0.73,0.05,0.14,0
49,0.51,0.54,0.48,0.5,0.41,0.34,0.43,0
55,0.3,0.16,0.48,0.5,0.56,0.11,0.23,0
56,0.36,0.39,0.48,0.5,0.48,0.22,0.23,0
58,0.29,0.37,0.48,0.5,0.48,0.44,0.52,0
59,0.25,0.4,0.48,0.5,0.47,0.33,0.42,0
61,0.21,0.51,0.48,0.5,0.5,0.32,0.41,0
62,0.43,0.37,0.48,0.5,0.53,0.35,0.44,0
64,0.43,0.39,0.48,0.5,0.47,0.31,0.41,0
65,0.53,0.38,0.48,0.5,0.44,0.26,0.36,0
66,0.34,0.33,0.48,0.5,0.38,0.35,0.44,0
71,0.56,0.51,0.48,0.5,0.34,0.37,0.46,0
82,0.4,0.29,0.48,0.5,0.42,0.35,0.44,0
83,0.24,0.35,0.48,0.5,0.31,0.19,0.31,0
84,0.36,0.54,0.48,0.5,0.41,0.38,0.46,0
87,0.29,0.52,0.48,0.5,0.42,0.29,0.39,0
